Language,code_lines,comment_lines,blank_lines,total_lines,files_count
JavaScript,146205,42428,33164,221797,625
Python,114017,48173,35086,197276,914
docs,77255,0,23497,100752,344
CSS,62987,2401,10495,75883,268
TSX,29018,1943,2806,33767,168
HTML,17220,1106,3537,21863,109
TypeScript,10839,2064,1684,14587,95
migrations,4106,1323,1014,6443,49
Vue:script,3228,87,739,4054,83
Vue:template,2830,223,385,3438,83
YAML,2812,108,262,3182,21
Vue:style,1056,0,230,1286,32
Dockerfile,10,52,17,79,1
SQL,2,10,5,17,1

Top 50 largest files by code_lines
path,language,code_lines,comment_lines,blank_lines,total_lines
riskcast-v16-main\app\static\cesium\Cesium.js,JavaScript,9802,2982,1709,14493
riskcast-v16-main\app\static\cesium\index.cjs,JavaScript,9802,2982,1709,14493
riskcast-v16-main\app\static\cesium\index.js,JavaScript,9802,2982,1709,14493
riskcast-v16-main\riskcast-v16-main\app\static\cesium\Cesium.js,JavaScript,9802,2982,1709,14493
riskcast-v16-main\riskcast-v16-main\app\static\cesium\index.cjs,JavaScript,9802,2982,1709,14493
riskcast-v16-main\riskcast-v16-main\app\static\cesium\index.js,JavaScript,9802,2982,1709,14493
riskcast-v16-main\app\static\js\modules\smart_input.js,JavaScript,2755,439,512,3706
riskcast-v16-main\riskcast-v16-main\app\static\js\modules\smart_input.js,JavaScript,2755,439,512,3706
riskcast-v16-main\app\static\js\data\logistics_data.js,JavaScript,2464,276,138,2878
riskcast-v16-main\riskcast-v16-main\app\static\js\data\logistics_data.js,JavaScript,2464,276,138,2878
riskcast-v16-main\app\static\css\smart_input_styles.css,CSS,2406,85,382,2873
riskcast-v16-main\riskcast-v16-main\app\static\css\smart_input_styles.css,CSS,2406,85,382,2873
riskcast-v16-main\app\static\css\home_css.css,CSS,1873,61,285,2219
riskcast-v16-main\riskcast-v16-main\app\static\css\home_css.css,CSS,1873,61,285,2219
riskcast-v16-main\app\static\css\ai_chat.css,CSS,1524,36,226,1786
riskcast-v16-main\riskcast-v16-main\app\static\css\ai_chat.css,CSS,1524,36,226,1786
riskcast-v16-main\app\api\v1\risk_routes.py,Python,1506,381,245,2132
riskcast-v16-main\docs\openapi\openapi.yaml,YAML,1499,45,120,1664
riskcast-v16-main\app\static\css\home_v2000.css,CSS,1458,33,227,1718
riskcast-v16-main\riskcast-v16-main\app\static\css\home_v2000.css,CSS,1458,33,227,1718
riskcast-v16-main\app\static\css\pages\input\input_v20.css,CSS,1419,45,212,1676
riskcast-v16-main\riskcast-v16-main\app\static\css\pages\input\input_v20.css,CSS,1419,45,212,1676
riskcast-v16-main\app\static\css\pages\input\input_v19.css,CSS,1396,66,227,1689
riskcast-v16-main\riskcast-v16-main\app\static\css\pages\input\input_v19.css,CSS,1396,66,227,1689
riskcast-v16-main\docs\input-page-design-spec-v1.md,docs,1336,0,283,1619
riskcast-v16-main\src\pages\ResultsPage.tsx,TSX,1321,163,135,1619
riskcast-v16-main\app\core\engine\riskcast_engine_v21.py,Python,1280,78,268,1626
riskcast-v16-main\riskcast-v16-main\app\core\engine\riskcast_engine_v21.py,Python,1280,78,268,1626
riskcast-v16-main\app\static\cesium\Widgets\widgets.css,CSS,1274,19,19,1312
riskcast-v16-main\riskcast-v16-main\app\static\cesium\Widgets\widgets.css,CSS,1274,19,19,1312
riskcast-v16-main\app\static\css\enterprise_input_layout.css,CSS,1191,76,161,1428
riskcast-v16-main\riskcast-v16-main\app\static\css\enterprise_input_layout.css,CSS,1191,76,161,1428
riskcast-v16-main\src\adapters\adaptResultV2.ts,TypeScript,1174,236,154,1564
riskcast-v16-main\app\core\engine\risk_engine_v16.py,Python,1153,2913,814,4880
riskcast-v16-main\riskcast-v16-main\static\js\pages\input\input_controller_v19.js,JavaScript,1150,236,1712,3098
riskcast-v16-main\static\js\pages\input\input_controller_v19.js,JavaScript,1150,236,1712,3098
riskcast-v16-main\riskcast-v16-main\app\static\css\results.css,CSS,1149,25,195,1369
riskcast-v16-main\docs\input-page-ui-audit.md,docs,1113,0,232,1345
riskcast-v16-main\app\routers\auth.py,Python,1105,122,218,1445
riskcast-v16-main\app\core\engine\risk_engine_base.py,Python,1060,2648,750,4458
riskcast-v16-main\app\core\risk_engine_v16.py,Python,1060,2648,750,4458
riskcast-v16-main\riskcast-v16-main\app\core\engine\risk_engine_base.py,Python,1060,2648,750,4458
riskcast-v16-main\riskcast-v16-main\app\core\engine\risk_engine_v16.py,Python,1060,2648,750,4458
riskcast-v16-main\riskcast-v16-main\app\core\risk_engine_v16.py,Python,1060,2648,750,4458
riskcast-v16-main\app\templates\home.html,HTML,999,62,68,1129
riskcast-v16-main\riskcast-v16-main\app\templates\home.html,HTML,975,57,66,1098
riskcast-v16-main\AI_SYSTEM_ADVISOR_REFACTORING_PLAN.md,docs,939,0,216,1155
riskcast-v16-main\ENTERPRISE_AUDIT_REPORT.md,docs,894,0,222,1116
riskcast-v16-main\INSURANCE_GRADE_AUDIT_REPORT.md,docs,894,0,321,1215
riskcast-v16-main\app\static\js\sci_fi_risk_viz.js,JavaScript,876,149,130,1155
